1,center city
2,San Jose
3,university city
4,calabash mountain
5,Raleigh
6,Kyoto
7,Tokyo
8,Hawaii
9,San Francisco
10,Beijing
11,Mexico City
12,France
13,Philadelphia
14,New York
15,Boston
16,India
17,Goa
18,NewZealand
19,Singapore
20,Switzerland
21,europe
22,philly
23,London
24,Paris
25,NY
26,SFO
27,Chicago
28,Paris, France
29,Paris of France
30,Versailles, France
31,Prague, Czech Republic
32,Prague of Czech Republic
33,MONTREAL
34,NEW YORK CITY, NY
35,KERALA,INDIA
36,TAJMAHAL, AGRA, INDIA
37,TURKEY
38,ANTARCTICA
39,ROCKY MOUNTAINS
40,TOKYO
41,ALASKA
42,CARIBBEAN SEA
43,UPENN
44,Hometown Paris
45,Amsterdam
46,Tokyo of Japan
47,Bruges
48,Paris, Texas
49,Island 1
50,Island 2
51,Island 3
52,Island 4
53,Island 5
54,Guam
55,blind Pig
56,guam
57,Starbucks
58,Chili's
59,Lovely Starbucks
60,Dunkin Donuts
61,my Starbucks
62,cute Guam
63,Paris of Kentucky
64,the Guam
65,Paris, Kentucky
66,coffee shop
67,oooh Guam
68,Disney World
69,New York, NY
70,Liberty Bell
71,San Diego, CA
72,Levine Hall
73,Paris, FR
74,Wells Fargo Center
75,Milan, IT
76,The Shire
77,Mount Rushmore
78,TOKYO of Japan
79,Rome
80,Munich
81,Las Vegas
82,Mount Vesuvius
83,Six Flags
84,Stonehenge
85,Miami Beach
86,Las Vegas, CA, USA
87,California
88,New York City
89,Canada
90,Texas
91,the Philadelphia, PA
92,Winterfell
93,New York, state of NY
94,Bay Harbor Islands
95,Mordor
96,ny
97,Seattle
98,Miami
99,nice philly
100,Dead sea
101,warm Hawaii
102,Yosemite
103,Poconos
104,Australia
105,Tokyo, cap of Japan
106,London, UK
107,cap of France
108,New York, NY state
109,San Francisco of California
110,Chicago, USA
